Word,POS,NER,Sentence
here,RB,O,10
:,:,O,10
https,NN,O,10
:,:,O,10
/,SYM,O,10
/,SYM,O,10
sbicard.com,ADD,O,10
/,HYPH,O,10
quickpaynet,NN,O,10
to,TO,O,10
make,VB,O,10
online,JJ,O,10
payment,NN,O,10
.,.,O,10
"""",'',O,10
"""",``,O,11
E-statement,NN,O,11
of,IN,O,11
SBI,NNP,CBNK,11
Credit,NNP,O,11
Card,NNP,O,11
ending,VBG,O,11
XX04,NNP,CNUM,11
dated,VBD,O,11
09,CD,BGD,11
/,SYM,BGD,11
05,CD,BGD,11
/,SYM,BGD,11
2024,CD,BGD,11
has,VBZ,O,11
been,VBN,O,11
mailed,VBN,O,11
.,.,O,11
If,IN,O,11
not,RB,O,11
received,VBN,O,11
",",",",O,11
SMS,NNP,O,11
ENRS,NNP,O,11
to,IN,O,11
5676791,CD,O,11
.,.,O,11
Total,JJ,O,11
Amt,NNP,O,11
Due,NNP,O,11
Rs,NN,CDUE,11
51386,CD,CDUE,11
;,:,O,11
Min,NNP,O,11
Amt,NNP,O,11
Due,NNP,O,11
Rs6812,NN,O,11
;,:,O,11
Payable,JJ,O,11
by,IN,O,11
29,CD,BDD,11
/,SYM,BDD,11
05,CD,BDD,11
/,SYM,BDD,11
2024,CD,BDD,11
.,.,O,11
Click,VB,O,11
https,NN,O,11
:,:,O,11
/,SYM,O,11
/,SYM,O,11
sbicard.com,ADD,O,11
/,HYPH,O,11
quickpaynet,NN,O,11
to,TO,O,11
pay,VB,O,11
your,PRP$,O,11
bill,NN,O,11
"""",'',O,11
Jan,NNP,O,12
-,HYPH,O,12
24,CD,O,12
statement,NN,O,12
for,IN,O,12
Credit,NNP,O,12
Card,NNP,O,12
X5159,NN,CNUM,12
Total,JJ,O,12
Due,NNP,O,12
:,:,O,12
INR,NNP,CDUE,12
13321.88,CD,CDUE,12
Min,NNP,O,12
Due,NN,O,12
:,:,O,12
INR,NNP,MDUE,12
13317.14,CD,MDUE,12
Due,IN,O,12
date,NN,O,12
:,:,O,12
02,CD,BDD,12
-,HYPH,BDD,12
Feb,NNP,BDD,12
-,HYPH,BDD,12
24,CD,BDD,12
.,.,O,12
Pay,VB,O,12
at,IN,O,12
www.kotak.com,ADD,O,12
/,SYM,O,12
rd,NN,O,12
/,SYM,O,12
CCPYMT,NNP,O,12
-,HYPH,O,12
Kotak,NNP,O,12
Bank,NNP,O,12
"""",'',O,13
Dear,NNP,O,13
Customer,NNP,O,13
",",",",O,13
statement,NN,O,13
for,IN,O,13
YES,NNP,CBNK,13
BANK,NNP,CBNK,13
Credit,NNP,O,13
Card,NNP,O,13
ending,VBG,O,13
1028,CD,CNUM,13
has,VBZ,O,13
been,VBN,O,13
generated,VBN,O,13
and,CC,O,13
will,MD,O,13
reach,VB,O,13
you,PRP,O,13
in,IN,O,13
24,CD,O,13
to,IN,O,13
48,CD,O,13
hrs,NN,O,13
.,.,O,13
Total,JJ,O,13
Due,NNP,O,13
:,:,O,13
INR,NNP,CDUE,13
.0,CD,CDUE,13
.,.,O,13
Min,NNP,O,13
Due,NN,O,13
:,:,O,13
INR,NNP,MDUE,13
.0,CD,MDUE,13
and,CC,O,13
Payment,NNP,O,13
Due,NNP,O,13
Date,NNP,O,13
:,:,O,13
08,CD,BDD,13
/,SYM,BDD,13
03,CD,BDD,13
/,SYM,BDD,13
24,CD,BDD,13
.,.,O,13
Please,UH,O,13
pay,VB,O,13
including,VBG,O,13
the,DT,O,13
decimal,JJ,O,13
value,NN,O,13
to,TO,O,13
avoid,VB,O,13
charges,NNS,O,13
",",",",O,13
immediate,JJ,O,13
payment,NN,O,13
is,VBZ,O,13
required,VBN,O,13
if,IN,O,13
previous,JJ,O,13
statement,NN,O,13
dues,NNS,O,13
are,VBP,O,13
unpaid,JJ,O,13
.,.,O,13
-,:,O,13
YES,NNP,O,13
Bank,NNP,O,13
Limited,NNP,O,13
"""",'',O,13
"""",``,O,14
Dear,NNP,O,14
Customer,NNP,O,14
",",",",O,14
statement,NN,O,14
for,IN,O,14
YES,NNP,CBNK,14
BANK,NNP,CBNK,14
Credit,NNP,O,14
Card,NNP,O,14
ending,VBG,O,14
7051,CD,CNUM,14
has,VBZ,O,14
been,VBN,O,14
generated,VBN,O,14
and,CC,O,14
will,MD,O,14
reach,VB,O,14
you,PRP,O,14
in,IN,O,14
24,CD,O,14
to,IN,O,14
48,CD,O,14
hrs,NN,O,14
.,.,O,14
Total,JJ,O,14
Due,NNP,O,14
:,:,O,14
INR,NNP,CDUE,14
14406.38,CD,CDUE,14
.,.,O,14
Min,NNP,O,14
Due,NN,O,14
:,:,O,14
INR,NNP,MDUE,14
738.64,CD,MDUE,14
and,CC,O,14
Payment,NNP,O,14
Due,NNP,O,14
Date,NNP,O,14
:,:,O,14
08,CD,BDD,14
/,SYM,BDD,14
02,CD,BDD,14
/,SYM,BDD,14
24,CD,BDD,14
.,.,O,14
Please,UH,O,14
pay,VB,O,14
including,VBG,O,14
the,DT,O,14
decimal,JJ,O,14
value,NN,O,14
to,TO,O,14
avoid,VB,O,14
charges,NNS,O,14
",",",",O,14
immediate,JJ,O,14
payment,NN,O,14
is,VBZ,O,14
required,VBN,O,14
if,IN,O,14
previous,JJ,O,14
statement,NN,O,14
dues,NNS,O,14
are,VBP,O,14
unpaid,JJ,O,14
.,.,O,14
-,:,O,14
YES,NNP,O,14
Bank,NNP,O,14
Limited,NNP,O,14
"""",'',O,14
"""",``,O,15
Dear,NNP,O,15
Customer,NNP,O,15
",",",",O,15
statement,NN,O,15
for,IN,O,15
YES,NNP,CBNK,15
BANK,NNP,CBNK,15
Credit,NNP,O,15
Card,NNP,O,15
ending,VBG,O,15
5665,CD,CNUM,15
has,VBZ,O,15
been,VBN,O,15
generated,VBN,O,15
and,CC,O,15
will,MD,O,15
reach,VB,O,15
you,PRP,O,15
in,IN,O,15
24,CD,O,15
to,IN,O,15
48,CD,O,15
hrs,NN,O,15
.,.,O,15
Total,JJ,O,15
Due,NNP,O,15
:,:,O,15
INR,NNP,CDUE,15
26388.29,CD,CDUE,15
.,.,O,15
Min,NNP,O,15
Due,NN,O,15
:,:,O,15
INR,NNP,MDUE,15
1374.34,CD,MDUE,15
and,CC,O,15
Payment,NNP,O,15
Due,NNP,O,15
Date,NNP,O,15
:,:,O,15
10,CD,BDD,15
/,SYM,BDD,15
03,CD,BDD,15
/,SYM,BDD,15
24,CD,BDD,15
.,.,O,15
Please,UH,O,15
pay,VB,O,15
including,VBG,O,15
the,DT,O,15
decimal,JJ,O,15
value,NN,O,15
to,TO,O,15
avoid,VB,O,15
charges,NNS,O,15
",",",",O,15
immediate,JJ,O,15
payment,NN,O,15
is,VBZ,O,15
required,VBN,O,15
if,IN,O,15
previous,JJ,O,15
statement,NN,O,15
dues,NNS,O,15
are,VBP,O,15
unpaid,JJ,O,15
.,.,O,15
-,:,O,15
YES,NNP,O,15
Bank,NNP,O,15
Limited,NNP,O,15
"""",'',O,15
An,DT,O,16
amount,NN,O,16
of,IN,O,16
INR,NNP,O,16
311.61,CD,O,16
received,VBN,O,16
on,IN,O,16
your,PRP$,O,16
YES,NNP,CBNK,16
BANK,NNP,CBNK,16
Credit,NNP,O,16
Card,NNP,O,16
ending,VBG,O,16
9743,CD,CNUM,16
from,IN,O,16
UPI_INNOVATIVE,NNP,O,16
RETAI,NNP,O,16
on,IN,O,16
23,CD,O,16
-,HYPH,O,16
04,CD,O,16
-,SYM,O,16
24,CD,O,16
.,.,O,16
Current,JJ,O,16
Total,NNP,O,16
Amount,NNP,O,16
Due,NNP,O,16
is,VBZ,O,16
INR,NNP,CDUE,16
9600.68,CD,CDUE,16
and,CC,O,16
Min,NNP,O,16
Amount,NNP,O,16
Due,NNP,O,16
INR,NNP,MDUE,16
495.61,CD,MDUE,16
due,JJ,O,16
on,IN,O,16
08,CD,BDD,16
-,HYPH,BDD,16
05,CD,BDD,16
-,HYPH,BDD,16
24,CD,BDD,16
.,.,O,16
-,HYPH,O,16
YES,NNP,CBNK,16
BANK,NNP,CBNK,16
LTD,NNP,O,16
"""",'',O,17
Dear,NNP,O,17
Customer,NNP,O,17
",",",",O,17
statement,NN,O,17
for,IN,O,17
ICICI,NNP,CBNK,17
Bank,NNP,CBNK,17
Credit,NNP,O,17
Card,NNP,O,17
XX1005,NNP,CNUM,17
has,VBZ,O,17
been,VBN,O,17
sent,VBN,O,17
to,IN,O,17
akshat.birla,CD,O,17
¡,NNP,O,17
gmail.com,ADD,O,17
.,.,O,17
Total,JJ,O,17
amount,NN,O,17
of,IN,O,17
Rs,NNS,O,17
-,HYPH,O,17
"1,1,3,0.07",NN,O,17
or,CC,O,17
Minimum,JJ,O,17
amount,NN,O,17
of,IN,O,17
Rs,NNS,O,17
"1,1,3,0,0,0.06",CD,O,17
is,VBZ,O,17
due,JJ,O,17
by,IN,O,17
21,CD,BDD,17
-,HYPH,BDD,17
JAN,NNP,BDD,17
-,HYPH,BDD,17
24,CD,BDD,17
.,.,O,17
"""",'',O,17
ICICI,NNP,CBNK,18
Bank,NNP,CBNK,18
Credit,NNP,O,18
Card,NNP,O,18
XX0002,NNP,CNUM,18
Statement,NNP,O,18
is,VBZ,O,18
sent,VBN,O,18
to,IN,O,18
moluguharikrishna123,NNS,O,18
@,IN,O,18
gmail.com,ADD,O,18
.,.,O,18
Total,JJ,O,18
of,IN,O,18
Rs,NNS,CDUE,18
45335.66,CD,CDUE,18
or,CC,O,18
minimum,NN,O,18
of,IN,O,18
Rs,NNS,MDUE,18
2780,CD,MDUE,18
is,VBZ,O,18
due,JJ,O,18
by,IN,O,18
01,CD,BDD,18
-,HYPH,BDD,18
MAR,NNP,BDD,18
-,HYPH,BDD,18
24,CD,BDD,18
.,.,O,18
Total,JJ,O,19
Due,NNP,O,19
INR,NNP,CDUE,19
1713.54,CD,CDUE,19
&,CC,O,19
Min,NNP,O,19
Due,NNP,O,19
INR,NNP,MDUE,19
100,CD,MDUE,19
to,TO,O,19
be,VB,O,19
paid,VBN,O,19
by,IN,O,19
01,CD,BDD,19
-,HYPH,BDD,19
Mar,NNP,BDD,19
-,HYPH,BDD,19
24,CD,BDD,19
on,IN,O,19
ICICI,NNP,CBNK,19
Bank,NNP,CBNK,19
Credit,NNP,O,19
Card,NNP,O,19
XX1006,NNP,CNUM,19
.,.,O,19
Non-payment,NN,O,19
of,IN,O,19
Min,NNP,O,19
Due,NNP,O,19
will,MD,O,19
be,VB,O,19
reported,VBN,O,19
to,IN,O,19
credit,NN,O,19
bureaus,NN,O,19
Total,NNP,O,20
Rs,NNPS,CDUE,20
89365.46,CD,CDUE,20
or,CC,O,20
minimum,NN,O,20
Rs,NNS,MDUE,20
89365.46,CD,MDUE,20
for,IN,O,20
ICICI,NNP,CBNK,20
Bank,NNP,CBNK,20
Credit,NNP,O,20
Card,NNP,O,20
4375XXXXXXXX7009,CD,CNUM,20
due,JJ,O,20
on,IN,O,20
09,CD,BDD,20
-,HYPH,BDD,20
May,NNP,BDD,20
-,HYPH,BDD,20
24,CD,BDD,20
.,.,O,20
Pay,VB,O,20
at,IN,O,20
http,NN,O,20
:,:,O,20
/,SYM,O,20
/,SYM,O,20
nmc.sg,CD,O,20
/,SYM,O,20
e6ABWs,NNS,O,20
"""",'',O,21
The,DT,O,21
e-Statement,NNP,O,21
for,IN,O,21
your,PRP$,O,21
IDFC,NN,CBNK,21
FIRST,NNP,CBNK,21
Bank,NNP,CBNK,21
Credit,NNP,O,21
Card,NNP,O,21
XX2382,NNP,CNUM,21
has,VBZ,O,21
been,VBN,O,21
generated,VBN,O,21
.,.,O,21
Due,IN,O,21
Date,NNP,O,21
:,:,O,21
11,CD,BDD,21
-,SYM,BDD,21
10,CD,BDD,21
-,SYM,BDD,21
2023,CD,BDD,21
Total,NNP,O,21
Due,NN,O,21
:,:,O,21
Rs,NNS,CDUE,21
.,.,CDUE,21
-,HYPH,CDUE,21
"1,16,720.86",CD,CDUE,21
Min,NNP,O,21
Due,NN,O,21
:,:,O,21
Rs,NNS,MDUE,21
.,.,MDUE,21
-,HYPH,MDUE,21
"5,837.00",CD,MDUE,21
Use,VB,O,21
your,PRP$,O,21
date,NN,O,21
of,IN,O,21
birth,NN,O,21
in,IN,O,21
DDMM,NNP,O,21
format,NN,O,21
to,TO,O,21
access,VB,O,21
your,PRP$,O,21
e-Statement,NNP,O,21
https,NN,O,21
:,:,O,21
/,SYM,O,21
/,SYM,O,21
ecommunication.idfcfirstbank.com,NNP,O,21
:,:,O,21
8443,CD,O,21
/,SYM,O,21
bipRxnd3,NNS,O,21
"""",'',O,21
"""",``,O,22
The,DT,O,22
eStatement,NNP,O,22
for,IN,O,22
your,PRP$,O,22
FIRST,NNP,O,22
Millennia,NNP,O,22
Credit,NNP,O,22
Card,NNP,O,22
XX7349,NNP,CNUM,22
is,VBZ,O,22
due,JJ,O,22
on,IN,O,22
06,CD,BDD,22
-,HYPH,BDD,22
03,CD,BDD,22
-,HYPH,BDD,22
2024,CD,BDD,22
Total,NNP,O,22
Due,NNP,O,22
:,:,O,22
"4,782.00",CD,CDUE,22
Min,NNP,O,22
Due,NN,O,22
:,:,O,22
240.00,CD,MDUE,22
To,TO,O,22
access,VB,O,22
eStatement,NNP,O,22
use,VBP,O,22
your,PRP$,O,22
date,NN,O,22
ofbirth,RB,O,22
in,IN,O,22
DDMM,NNP,O,22
:,:,O,22
https,NN,O,22
:,:,O,22
/,SYM,O,22
/,SYM,O,22
ecommunication.idfcfirstbank.com,NNP,O,22
:,:,O,22
8443,CD,O,22
/,SYM,O,22
86kFAz6m,NN,O,22
Click,NNP,O,22
to,TO,O,22
pay,VB,O,22
:,:,O,22
https,NN,O,22
:,:,O,22
/,SYM,O,22
/,SYM,O,22
idfcfr.in,CD,O,22
/,SYM,O,22
i20etK,NNP,O,22
IDFC,NNP,CBNK,22
FIRST,NNP,CBNK,22
Bank,NNP,CBNK,22
"""",'',O,22
"""",``,O,23
The,DT,O,23
eStatement,NNP,O,23
for,IN,O,23
your,PRP$,O,23
FIRST,NNP,O,23
Classic,NNP,O,23
Credit,NNP,O,23
Card,NNP,O,23
XX0752is,NNP,CNUM,23
here,RB,O,23
.,.,O,23
Due,IN,O,23
by,IN,O,23
06,CD,BDD,23
-,HYPH,BDD,23
04,CD,BDD,23
-,HYPH,BDD,23
2024,CD,BDD,23
Total,NNP,O,23
Due,NNP,O,23
:,:,O,23
INR,NNP,CDUE,23
"2,223.00",CD,CDUE,23
Min,NNP,O,23
Due,NN,O,23
:,:,O,23
INR,NNP,MDUE,23
112.00,CD,MDUE,23
To,TO,O,23
access,VB,O,23
eStatement,NNP,O,23
use,VBP,O,23
your,PRP$,O,23
date,NN,O,23
of,IN,O,23
birth,NN,O,23
in,IN,O,23
DDMM,NNP,O,23
:,:,O,23
https,NN,O,23
:,:,O,23
/,SYM,O,23
/,SYM,O,23
ecommunication.idfcfirstbank.com,NNP,O,23
:,:,O,23
8443,CD,O,23
/,SYM,O,23
eZAMApbg,NNP,O,23
Click,VB,O,23
to,TO,O,23
pay,VB,O,23
:,:,O,23
https,NN,O,23
:,:,O,23
/,SYM,O,23
/,SYM,O,23
idfcfr.in,CD,O,23
/,SYM,O,23
i20etK,NNP,O,23
IDFC,NNP,CBNK,23
FIRST,NNP,CBNK,23
Bank,NNP,CBNK,23
"""",'',O,23
Your,PRP$,O,24
IDFC,NN,CBNK,24
FIRST,NNP,CBNK,24
Bank,NNP,CBNK,24
Credit,NNP,O,24
Card,NNP,O,24
XX4575,NNP,CNUM,24
bill,NN,O,24
due,JJ,O,24
by,IN,O,24
04,CD,BDD,24
-,HYPH,BDD,24
04,CD,BDD,24
-,HYPH,BDD,24
2024,CD,BDD,24
Total,NNP,O,24
Amt,NNP,O,24
:,:,O,24
INR,NNP,CDUE,24
2099.80,CD,CDUE,24
Min,NNP,O,24
Amt,NNP,O,24
:,:,O,24
INR,NNP,MDUE,24
105.00,CD,MDUE,24
Pay,NN,O,24
:,:,O,24
https,NN,O,24
:,:,O,24
/,SYM,O,24
/,SYM,O,24
idfcfr.in,CD,O,24
/,SYM,O,24
i20etK,NN,O,24
Total,JJ,O,25
amt,NN,O,25
of,IN,O,25
Rs,NNS,CDUE,25
.1868.82,CD,CDUE,25
is,VBZ,O,25
due,JJ,O,25
by,IN,O,25
03,CD,BDD,25
/,SYM,BDD,25
02,CD,BDD,25
/,SYM,BDD,25
24,CD,BDD,25
on,IN,O,25
RBL,NNP,CBNK,25
Bank,NNP,CBNK,25
Credit,NNP,O,25
Card,NNP,O,25
41,CD,O,25
.,.,O,25
Pls,VB,O,25
Pay,VB,O,25
at,IN,O,25
bit.ly,ADD,O,25
/,SYM,O,25
2TDeg5K,CD,O,25
.,.,O,25
Delayed,VBN,O,25
payments,NNS,O,25
are,VBP,O,25
reported,VBN,O,25
to,IN,O,25
credit,NN,O,25
bureaus,NN,O,25
.,.,O,25
Important,JJ,O,26
!,.,O,26
Your,PRP$,O,26
payment,NN,O,26
for,IN,O,26
RBL,NNP,CBNK,26
Bank,NNP,CBNK,26
Credit,NNP,O,26
Card,NNP,O,26
XXXXXXXXXXXXXXX6674,NNP,CNUM,26
is,VBZ,O,26
due,JJ,O,26
on,IN,O,26
03,CD,BDD,26
-,HYPH,BDD,26
Feb,NNP,BDD,26
-,HYPH,BDD,26
2024,CD,BDD,26
.,.,O,26
Total,NNP,O,26
Amount,NNP,O,26
due,JJ,O,26
is,VBZ,O,26
Rs,NNS,CDUE,26
.,.,CDUE,26
19456.01,CD,CDUE,26
.,.,O,26
Please,UH,O,26
make,VB,O,26
